//0																													
//Oxygen,  1.07
//Nitrate, 1, 1, 0, 0
//pH, 1, 0.04, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
8514Hawaii	1	C	09/14/2013	17:03	201.999	22.659		1499.95	0	2.8289	0	34.5508	0	27.505	0	7504.12	8	2246.05	8	41.19	0	0.01	0	0.000089	0	7.6738	0	7.4299	0
8514Hawaii	1	C	09/14/2013	17:03	201.999	22.659		1399.1	0	3.0538	0	34.5372	0	27.471	0	7420.56	8	2233.30	8	41.39	0	0.03	0	0.000084	0	7.6654	0	7.4220	0
8514Hawaii	1	C	09/14/2013	17:03	201.999	22.659		1297.36	0	3.2881	0	34.5217	0	27.434	0	7335.60	8	2220.35	8	41.62	0	0.02	0	0.000086	0	7.6577	0	7.4148	0
8514Hawaii	1	C	09/14/2013	17:03	201.999	22.659		1200.28	0	3.4968	0	34.5046	0	27.398	0	7259.52	8	2208.42	8	41.83	0	0.02	0	0.000086	0	7.6501	0	7.4076	0
8514Hawaii	1	C	09/14/2013	17:03	201.999	22.659		1099.81	0	3.7222	0	34.4794	0	27.354	0	7179.70	8	2195.90	8	41.66	0	0.02	0	0.000089	0	7.6416	0	7.3996	0
8514Hawaii	1	C	09/14/2013	17:03	201.999	22.659		999.93	0	3.933	0	34.4477	0	27.305	0	7105.01	8	2183.83	8	41.70	0	0.02	0	0.000086	0	7.6300	0	7.3886	0
8514Hawaii	1	C	09/14/2013	17:03	201.999	22.659		951.06	0	4.0717	0	34.4346	0	27.278	0	7059.75	8	2177.09	8	42.01	0	0.03	0	0.000085	0	7.6153	0	7.3755	0
8514Hawaii	1	C	09/14/2013	17:03	201.999	22.659		900.9	0	4.3017	0	34.3961	0	27.221	0	6992.88	8	2168.00	8	41.55	0	0.04	0	0.000089	0	7.5990	0	7.3621	0
8514Hawaii	1	C	09/14/2013	17:03	201.999	22.659		851.67	0	4.3797	0	34.3352	0	27.162	0	6965.70	8	2162.79	8	41.44	0	0.04	0	0.000085	0	7.5875	0	7.3510	0
8514Hawaii	1	C	09/14/2013	17:03	201.999	22.659		801.23	0	4.4732	0	34.2964	0	27.12	0	6933.49	8	2157.11	8	41.32	0	0.02	0	0.000089	0	7.5825	0	7.3461	0
8514Hawaii	1	C	09/14/2013	17:03	201.999	22.659		751.31	0	4.6862	0	34.2424	0	27.05	0	6873.04	8	2148.55	8	40.67	0	0.03	0	0.000089	0	7.5827	0	7.3476	0
8514Hawaii	1	C	09/14/2013	17:03	201.999	22.659		700.99	0	4.9449	0	34.1845	0	26.972	0	6802.42	8	2138.92	8	39.87	0	0.02	0	0.000094	0	7.5825	0	7.3494	0
