//0																													
//Oxygen,  1.07
//Nitrate, 1,0.95,-0,0
//pH, 1, -0, 0
//pH, 2, -0.015, 0
//pH, 3, -.01, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		  1294.34	0	  3.3343	0	34.5405	0	27.445	0	57.25	0	17.35	0	42.49	0	0.04	0	0.000083	0	7.6516	0	7.4132	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		  1195.87	0	  3.5720	0	34.5286	0	27.41	0	50.08	0	15.26	0	42.78	0	0.04	0	0.000085	0	7.6397	0	7.4023	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		  1096.24	0	  3.7836	0	34.5088	0	27.371	0	47.51	0	14.55	0	42.60	0	0.04	0	0.000085	0	7.6316	0	7.3946	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   996.79	0	  4.0308	0	34.4857	0	27.325	0	43.34	0	13.35	0	42.48	0	0.04	0	0.000086	0	7.6318	0	7.3949	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   951.27	0	  4.1049	0	34.4696	0	27.303	0	41.30	0	12.75	0	42.35	0	0.04	0	0.000088	0	7.6112	0	7.3755	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   899.88	0	  4.3137	0	34.4471	0	27.261	0	36.92	0	11.45	0	42.37	0	0.04	0	0.000090	0	7.6015	0	7.3679	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   851.25	0	  4.4528	0	34.4246	0	27.227	0	33.49	0	10.42	0	42.33	0	0.04	0	0.000090	0	7.5900	0	7.3576	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   800.28	0	  4.7245	0	34.3990	0	27.174	0	31.03	0	9.72	0	41.93	0	0.04	0	0.000094	0	7.5832	0	7.3535	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   750.41	0	  4.9010	0	34.3675	0	27.128	0	30.17	0	9.49	0	41.49	0	0.04	0	0.000091	0	7.5769	0	7.3486	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   701.17	0	  5.0652	0	34.3334	0	27.08	0	29.10	0	9.19	0	41.00	0	0.04	0	0.000093	0	7.5666	0	7.3398	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   650.94	0	  5.2180	0	34.2617	0	27.002	0	28.14	0	8.91	0	40.69	0	0.04	0	0.000093	0	7.5506	0	7.3256	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   601.27	0	  5.5412	0	34.1794	0	26.894	0	38.52	0	12.29	0	38.78	0	0.04	0	0.000094	0	7.5650	0	7.3418	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   551.24	0	  6.1402	0	34.1432	0	26.787	0	56.39	0	18.24	0	35.98	0	0.04	0	0.000102	0	7.6036	0	7.3839	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   501.32	0	  7.0529	0	34.0952	0	26.623	0	89.13	0	29.43	0	31.56	0	0.04	0	0.000094	0	7.6676	0	7.4538	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   451.24	0	  8.0153	0	34.0631	0	26.456	0	126.90	0	42.83	0	25.87	0	0.02	0	0.000099	0	7.7542	0	7.5452	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   401.18	0	  8.5450	0	34.0451	0	26.36	0	174.30	0	59.53	0	21.38	0	0.01	0	0.000101	0	7.8398	0	7.6295	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   380.84	0	  9.1771	0	34.0808	0	26.29	0	186.50	0	64.62	0	18.82	0	0.02	0	0.000104	0	7.8755	0	7.6706	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   360.93	0	  9.7900	0	34.1166	0	26.219	0	195.60	0	68.71	0	16.79	0	0.01	0	0.000101	0	7.8981	0	7.6994	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   351.54	0	  9.9590	0	34.1241	0	26.197	0	198.59	0	70.02	0	16.14	0	0.01	0	0.000101	0	7.9054	0	7.7083	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   340.94	0	 10.2829	0	34.1383	0	26.153	0	200.09	0	71.05	0	15.22	0	0.01	0	0.000101	0	7.9108	0	7.7176	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   331.33	0	 10.5815	0	34.1500	0	26.111	0	202.34	0	72.33	0	14.05	0	0.01	0	0.000099	0	7.9196	0	7.7296	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   321.18	0	 10.7809	0	34.1438	0	26.071	0	206.40	0	74.09	0	13.60	0	0.01	0	0.000101	0	7.9234	0	7.7356	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   311.41	0	 10.9975	0	34.1602	0	26.046	0	207.37	0	74.80	0	12.92	0	0.01	0	0.000099	0	7.9188	0	7.7342	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   301.02	0	 11.2372	0	34.1473	0	25.993	0	203.84	0	73.89	0	12.78	0	0.01	0	0.000099	0	7.9165	0	7.7352	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   291.57	0	 11.5026	0	34.1531	0	25.949	0	200.95	0	73.26	0	11.98	0	0.01	0	0.000107	0	7.9234	0	7.7451	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   279.90	0	 11.9378	0	34.1724	0	25.885	0	200.73	0	73.87	0	11.03	0	0.00	0	0.000099	0	7.9336	0	7.7603	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   271.61	0	 12.2402	0	34.1878	0	25.84	0	200.73	0	74.35	0	10.16	0	0.01	0	0.000098	0	7.9384	0	7.7689	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   261.06	0	 12.9178	0	34.2294	0	25.744	0	199.56	0	74.99	0	8.87	0	0.01	0	0.000098	0	7.9515	0	7.7905	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   251.35	0	 13.7768	0	34.3108	0	25.64	0	201.80	0	77.23	0	6.81	0	0.01	0	0.000098	0	7.9583	0	7.8090	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   241.15	0	 14.3311	0	34.3623	0	25.569	0	202.87	0	78.54	0	6.07	0	0.01	0	0.000101	0	7.9703	0	7.8277	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   228.33	0	 15.1685	0	34.4527	0	25.466	0	200.09	0	78.82	0	4.97	0	0.01	0	0.000098	0	7.9837	0	7.8520	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   218.37	0	 16.1193	0	34.5737	0	25.357	0	200.09	0	80.38	0	3.92	0	0.01	0	0.000101	0	7.9850	0	7.8670	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   210.55	0	 16.6380	0	34.6380	0	25.292	0	198.49	0	80.58	0	3.29	0	0.01	0	0.000098	0	7.9900	0	7.8790	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   201.03	0	 17.3687	0	34.7447	0	25.211	0	197.95	0	81.56	0	2.55	0	0.01	0	0.000098	0	7.9962	0	7.8954	0
9274Hawaii	 1	C	07/22/2015	16:32	202.074	 22.810		   191.76	0	 17.9597	0	34.8365	0	25.147	0	199.56	0	83.20	0	1.82	0	0.04	0	0.000098	0	8.0061	0	7.9130	0
